"compound","sentence1","sentence2","sentence3"
"fair play","sent1: ('""http://www.revolutionary-history.co.uk/supplem/rassool.htm""', 109)","fair play incorporates the concepts of friendship , respect for others and always playing in the right spirit .","sent3: ('""http://www.jri.org.uk/index.php?option=com_content&task=view&id=65&Itemid=71""', 327)"
"fairy tale","sent1: ('""http://www.mynottinghill.co.uk/nottinghilltv/celebs-list-fashion.htm""', 9)","i loved my father ' s old fairy tale books .","sent3: ('""http://www.bestbear.co.uk/parents/competition_fairy_111005.htm""', 88)"
"fall guy","and though the chairman and chief executive have been the fall guys , much of the blame that has been placed upon them is a little unfair .","however , sadly and a bit arbitrarily , it seems tidal streams have now been selected as the fall guy .","alan johnson is the government ' s new fall guy for pensions - related incompetence ."
"fashion plate","9 ) . dr alice mackrell , a costume historian specializing in the history of fashion plates , is also the author of several books , including art and fashion ( isbn","th january 2005 - 9 th april 2005 at chertsey museum a group of exquisite fashion plates dating back to the 18 th century will be on display . these engraved images","frivolous royal leader and her belief in simplicity and demure elegance is echoed by the fashion plates of the day . gone were the flamboyant fashions of the mid - 1830 s with"
"field work","sent1: ('""http://www.archaeology.co.uk/directory/results.asp?cat=2&type=u&postcode=&res=1&searchtype=&searchfor=&region=99&pgn=2""', 34)","the arbitrary removal of metal objects from the ground inevitably will jeopardise both present and future field work .","he spent time on the island carrying out field work for his book"
"fine line","particular aircraft . i also have to define the control surfaces , probably with ' fine line decals ' . the small size of my models means that some components have to","filter which reduces the moir effect you sometimes get when watching a picture that contains fine lines or patterns . exceptionally smooth images the acuity core brings other advantages . standard 100","it recently and have found it very useful for my work . it holds a fine line than other water - based resists i ' ve tried and does not break down with several applications"
"firing line","that are forced to be more responsible , because they are the ones in the firing line . ' if you are going to have a go at fast food , you","of these men who gave their lives . okay they were not on the front firing line but they risked their lives . never was so much owed to so few . .","allcock and the managing director of atlantic global , eugene blaine . first into the firing line was mark , presenting "" adeo future directions "" . his objective , to provide"
"fish story","i have a fish story to tell you .","sent2: ('""http://www.askwhy.co.uk/epistles/009ROdell2.html""', 499)","my funny fish story is about my algae eater named vac - short for vaccuum cleaner ."
"flea market","commission on each listing and sale . some people view the site as an online flea market where supply and demand dictate prices . whatever you call it , ebay has built","yourself to find the item you took in the magic shop , perhaps at a flea market , in your grandmother ' s attic , or in an antique shop . acquire the","dizzyingly full of stuff - painted , papered , bejeweled or mosaiced - from fun flea market paintings and mismatched floral wallpapers to the neon - lit toy octopus funfair ride at the centre"
"flower child","in the sixties , one would have called her a flower child , in the sense that she does n ' t pursue life with a fixed agenda or timetable of ambitions .","i ' m a flower child , a simple person who wants to change the world , create a revolution , give flowers to people and stop the vietnam war .","many of the images here are affectingly representative of their times , including flower children placing daisies into the rifles of us soldiers ."
"food market","sent1: ('""http://www.gardenorganic.org.uk/organicveg/news/story.php?id=47""', 4)","sent2: ('""http://thecnj.myzen.co.uk/review/food-drink/1228050106wine02.html""', 29)","sent3: ('""http://new.wales.gov.uk/topics/environmentcountryside/food_and_market_development/?lang=en""', 9)"
"foot soldier","sent1: ('""http://football.guardian.co.uk/Match_Report/0,,-59976,00.html""', 14)","sent2: ('""http://www.cube.jolt.co.uk/index.php?articleid=1138&action=commit""', 12)","the role of the working class was not to be a foot soldier of the actions of a "" left - wing "" reforming government ."
"football season","every week of the football season there is always a top class football match to watch .","the group is constructing a new 60 , 000 capacity stadium with a planned opening for the start of the 2006 / 2007 football season .","the 2002 - 2003 football season promises to be fascinating for football fans based in birmingham ."
"fresh water","sent1: ('""http://www.mollingtonvillages.co.uk/page8.html""', 7)","finally , increased fresh water from melting glaciers and sea ice could alter ocean circulation patterns and destabilize regional climate patterns .","always make sure to provide plenty of fresh water for your kitty , and it does n ' t hurt to add water to wet food that your cat may be used to eating ."
"Freudian slip","well it wasn ' t a mistake or a freudian slip of the finger y ' see the senators site is also supposedly using unlicenced software !","sent2: ('""http://www.mubs.mdx.ac.uk/Staff/Personal_pages/Jeff2/Berjv22.htm""', 119)","sent3: ('""http://www.ihrc.org.uk/show.php?id=521""', 12)"
"front man","john paul ii was an effective front man for the catholic church .","he couldn ' t play an instrument but was the perfect choice for a front man .","sent3: ('""http://www.wornby.co.uk/vintage-tshirts/freddie-mercury-vest.aspx""', 2)"
"front runner",". on 11 october 2005 the first round of presidential elections were held . the front runner george weah led the field with 28 % followed by former world bank official ellen","an unsettled run of results and although they were never likely to be amongst the front runners this season it is something of a shock to see them hovering just above the","confirm the identity of the buyer , but kruidvat appears to have emerged as the front runner . top of the page call on lords to scrap clause 67 the association of"
"game plan","and doing showcases , i had lots of irons in the fire . the only game plan i had was when to finish university , which was when everyone else was getting","a replay would be required . one could be excused for wondering if nelson ' s game plan from the earliest stages had been to hope for a potentially lucrative replay and the","had requested that she do a cinderella party and was very pleased with all the game plans in line with the theme . i know that all the kids enjoyed themselves and"
"ghost town","the town centre is now deserted - it ' s almost like a ghost town !","sent2: ('""http://www.edgsolicitors.co.uk/78.html""', 39)","with the mines closing down in the early 1990 ' s it tumbled into the darkness of a small quiet ghost town ."
"glass ceiling","women are continuing to slowly break through the glass ceiling of uk business and increase their company ' s profitability , according to new research .","described as "" the woman who cracked the bbc ' s glass ceiling "" , she has recently published her autobiography under the title of woman of today .","if a woman fails to get promoted , she ' s hit the ' glass ceiling ' ."
"gold mine","gardeners watching gordon taylor and guy cooper in action is like stumbling across a tv gold mine ! apart from their instant star appeal , this is a funny and charming duo","demand for locomotives in south africa , which was extremely high at the time with gold mines being sunk in the free state gold field and the discovery of the evander gold","to optimise the potential of our combined uk dealer network , which is a true gold mine . european distribution is now centralised in lausanne and there are now one national import"
"goose egg","and he has a black goose egg on his forehead .","sent2: ('""http://www.surrey.ac.uk/~cus1fb/fowl/pictures.htm""', 69)","sent3: ('""http://www.dvd.reviewer.co.uk/news/interview.asp?Index=10867""', 276)"
"graduate student","as a dunn student , you also become a member of a wider community of graduate students on the hospital site . we ' ve recently begun to have closer contact with students","has concentrated on fish , conducted mainly by overseas scientists and latterly , by malawian graduate students ( dnpw , pers . comm . 1995 ) . conservation value lake malawi national park","draw to the attention of the mcr committee the welfare interests of graduate students , and the implications of its policies for welfare issues ; organise such events concerning"
"grandfather clock","died . details of any special gifts you wish to make ( e . g . jewellery , grandfather clock etc . ) details of any legacies you wish to make ( e . g . ¬£ 500 to","wrapped up and in a box under a stone slab in the dairy . the grandfather clock fell to the floor . within a few days tarpaulin had been spread over the","a firm favourite , with english oak being among the most popular finishes . a grandfather clock is a classic heirloom , and decent working examples from the 17 th and 18"
"grass root","i have asked the arts council to develop strategies to recognise the importance of community , grass roots activity in developing the arts in wales .","if we define micro credit in literal sense of the term , it means a small amount sanctioned to poor at the grass root level irrespective of the geographical location","the welfare oriented transformation of the poor clients through micro finance calls for an appropriate tool for reflecting the reality of the life situation at grass root level ."
"graveyard shift","in the meyrick suite , bic at 12 . 45 pm . hmm , that ' s the graveyard shift of conference week is n ' t it ? not at all - it ' s the fringe meeting so",", dads working two jobs , dead end jobs , labor workers , helpers , graveyard shift workers , long commuters , students and on and on and on . actually ,","0 pm slot to his lower profile life as a dj on radio norwich ' s graveyard shift . here is a selection of images of his flirtation with the 800 and"
"gravy train","complains , and gains , most from taxes and government - from the federal government gravy train might provide the right with just the kind of crash course in addition and subtraction","' ( man , 30 - 45 , london ) , ' it ' s a gravy train . they ' ve all doubled their wages ' ( man , 30 - 45 ,","represented themhaving signed away their birthright so that they can join theirfellow politicians on the gravy train . for the uk the betrayal of the national interest by thesurrender of over a"
"grey matter","give your grey matter the workout that it needs to stay sharp and focused .","sent2: ('""http://www.shire.org.uk/comments.htm""', 134)","sent3: ('""http://www.sincuser.f9.co.uk/050/letters.htm""', 43)"
"ground floor","eight , even the divers did n ' t get to see these floors . on the ground floor we were shown into one of the escape chambers , inside there was a red","our new flagship , setting the trends for university catering services is situated on the ground floor of the new building : food hall offers exciting , innovative dishes from around the","pillows and bed linen provided . cot available . bathrooms two : one on the ground floor and the other on the top floor . both have bath with electric shower over"
"guilt trip","self - discipline . food can also be about weight , and weight gain - an instant guilt trip for many women . some women live in areas , and on incomes , where","a new pair of jeans or a pretty skirt will end up in a major guilt trip if the money is not her own , hard - earned cash . what makes matters worse","not to be sniffed at - but beyond that , is this all just another guilt trip for harassed parents ? i have three small children and my youngest , who is"
"guinea pig","sent1: ('""http://www.mkvasant.co.uk/publication9.html""', 79)","sent2: ('""http://www.outsidein.co.uk/forum/viewtopic.php?t=803&postdays=0&postorder=asc&start=75""', 105)","but ford has devised a test to prove them wrong - - and i agreed to play guinea pig ."
"half sister","sent1: ('""http://www.timetoconnect.co.uk/casehistory.html""', 27)","sent2: ('""http://www.scan.org.uk/exhibitions/guthrie.htm""', 7)","he learns the truth , that his mistress is also his half sister ."
"half wit","brock brock , called half wit by the villagers , claims he is a herald .","sent2: ('""http://www.sitcom.co.uk/sitcoms/baldy_man.shtml""', 2)","it is an idea of half wits that scientists themselves must falsify their own ideas ."
"hard drive","sent1: ('""http://www.cs.bham.ac.uk/~axs/laptop/""', 120)","sent2: ('""http://www.practicalpc.co.uk/computing/sound/pc4mus1.htm""', 29)","all these temporary files will slow down your computer , take up space on your hard drive ( memory ) ."
"hard shoulder","sent1: ('""http://www.learn2live.co.uk/General/Misc/hcode.htm""', 91)","sent2: ('""http://www.derbygripe.co.uk/roads2.htm""', 24)","sent3: ('""http://www.rac.co.uk/web/knowhow/motoring_news/hard_shoulder""', 3)"
"head hunter","sent1: ('""http://www.jobs1.co.uk/directory/cool30.html""', 45)","for a head hunter , networking is all about visibility and profile .","sent3: ('""http://www.russam-gms.co.uk/execnews.cfm?page=exec2""', 42)"
"head teacher","pupils to safeguard their reputation or position in school league tables . the association said head teachers had reduced their "" tolerance threshold "" for bad behaviour because competition for pupils and","in primaries to teach mfl . it has resulted in a meeting being arranged for head teachers in colchester secondaries to discuss this with the director of languages at thomas lord audley","dover girls ' grammar school head teacher julia bell said this year ' s average point score was 26 , only 0 . 2 down"
"health care","his interests are effectiveness of public health interventions and the measurement of health care performance , including alternative medicines .","trade unions have a clear role in the management of health and safety for health care workers and patients","members of the community usually come to the hospital for a course then return to provide basic health care services ."
"health check","sent1: ('""http://www.newtownabbey.gov.uk/news/article.asp?id=96""', 7)","sent2: ('""http://www.e-med.co.uk/health_checks.html""', 4)","sent3: ('""http://www.jr2.ox.ac.uk/bandolier/booth/hliving/unfit.html""', 9)"
"health insurance","health insurance policy packages may soon offer vouchers for gym membership , protein supplements","nearly percent of . paid per individual the multivariate analysis the employees participated in . the health insurance affected by prwora made by workers increase let me . different mid atlantic medical services","most financial planners suggest making a health insurance plan to be the starting point of all financial plans . even before one starts investing towards one’s goals , getting an adequate plan to cover for oneself and family helps"
"heavy cross","having to pay back university top - up fees is a heavy cross to carry , especially for those graduates from less well - off homes .","sent2: ('""http://www.lords-prayer.co.uk/deliver%20us%20from%20evil.htm""', 77)","her presentation gave the impression of being yet another masterclass on gold - plating regulations , and so creating more jobs for bureaucrats and a heavy cross for farmers to bear ."
"hen party","you can spot the stag and hen parties easily because they always dress in stupid outfits or matching t - shirts with their names printed on .","sent2: ('""http://www.iknow-devon.co.uk/tourist_information/torquay/torquay_area/torquay_english_riviera.htm""', 17)","sent3: ('""http://www.hentastic.co.uk/wedding-wedding-decoration.htm""', 32)"
"high life","he was accused by the daily mirror of living the high life at the charity ' s expense .","sent2: ('""http://www.ukpol.co.uk/messages/messages/5/2087.html?1159317547""', 104)","i was now supposed to be one of the glamorous elite , cheerfully enjoying the ' high life ' ."
"home run","ou can ' t hit a home run every time up at bat , but at least i want to show that i ' m trying my best .","the series showcased rookie willie mcgee hitting two home runs in game 3 , still tied as a record for rookies .","the star of olympic baseball has been orestes kindelan olivares who established a games record of nine home runs in nine games ."
"honey trap","by planting a local weed ( napier grass ) , pests are lured away from the corn into a honey trap .","prices are what you would expect in a tourist honey trap .","the son of the cabinet minister was at the centre of a cannabis honey trap ."
"hot potato","sent1: ('""http://www.foe.co.uk/resource/press_releases/world_bank_delays_pipeline.html""', 14)","sent2: ('""http://www.jr2.ox.ac.uk/bandolier/booth/cardiac/statecon.html""', 54)","sent3: ('""http://www.therockalltimes.co.uk/2005/05/09/apple-pie.html""', 23)"
"human being","not only , got to be connected into things but also to be a decent human being ¬ö all that power can be corrupting . jc : the greatest strength of the",", there is no need to do so . you stand tall enough as a human being of unique qualities not to need to be seen as a saint . indeed to","' s critique of the goddess as a relational symbol in postmodern technological societies ¬ö how human beings relate to technology , a very processed form of nature ¬ö covent garden nature in"
"incubation period","the incubation period , from exposure to the appearance of the rash , is usually 14 to 21 days .","sent2: ('""http://www.tewkesbury.gov.uk/index.cfm?articleid=928""', 4)","the incubation period is approximately 3 - 10 days whilst the duration of illness can be longer ."
"information age","computers are playing an ever increasing role in the delivery of education and training , and are indeed the nexus of the information age .","how to operate in a world characterized by information age technology , rapid change , deepening global linkages , and the continuous unbundling of value chains .","i said that the new information age economy would need not less but more competition ."
"injury time","sam was replaced in injury time having just missed a try scoring opportunity .","the final play of the match came in injury time as rangers kept the ball in the falkirk half .","he mysteriously awarded the visitors a free kick , and then an undeserved corner , in injury time ."
"inner circle","sent1: ('""http://observer.guardian.co.uk/osm/story/0,,1315435,00.html""', 89)","sent2: ('""http://www.gleeson0.demon.co.uk/ed050825.htm""', 27)","sent3: ('""http://www.paulflynnmp.co.uk/commonsdetail.jsp?id=292""', 34)"
"inner product","sent1: ('""http://www.ee.ic.ac.uk/hp/staff/dmb/matrix/property.html""', 96)","you can use the product global function to do matrix - matrix inner product multiplication .","in particular , note that operator * = does element - by - element multiplication , not inner product style matrix multiplication ."
"insane asylum","sent1: ('""http://www.talkingpix.co.uk/Flying%20Saucer%20Movies.html""', 70)","her half - sister was an inmate of an insane asylum .","this often involved undercover work and feigned insanity to get into the insane asylum on blackwell ' s island ."
"insider trading","sent1: ('""http://www.manifest.co.uk/manifest_i/2005/0510October/051003companiesbrief.htm""', 87)","sent2: ('""http://www.res.org.uk/society/mediabriefings/pdfs/2004/oct04/wei-du.asp""', 17)","sent3: ('""http://www.boardgamecompany.co.uk/1856(MY17).htm""', 4)"
"insurance company","sent1: ('""http://www.askthe.police.uk/content/Q427.htm""', 6)","sent2: ('""http://www.selfdrivecambridge.co.uk/frequently-asked-questions.html""', 19)","sent3: ('""http://www.autotrader.co.uk/CARS/motoring/ins/in-2.jsp""', 19)"
"insurance policy","sent1: ('""http://www2.newcarnet.co.uk/Beat-The-Car-Thief_insurance_advice.html?pid=14&section=advice""', 7)","sent2: ('""http://www.adviceguide.org.uk/nm/index/family_parent/family/what_to_do_after_a_death.htm""', 106)","sent3: ('""http://www.soton.ac.uk/socrates/outgoing/prep_check.html""', 50)"
"interest rate","7 times your salary works very well if coupled with rising property prices and low interest rates but think carefully about what may happen to your personal financial commitments should that trend","as well as having to pay pensions for longer , the current climate of low interest rates adds to the expense of purchasing an annuity . pension funds are having to set","average practice output : + sales revenue : + rate of return to training / interest rate same as above desired investment in physical capital same as above a function of :"
"iron collar","sent1: ('""http://www.richard.clark32.btinternet.co.uk/garrotte.html""', 53)","the remains of an iron ring to which a chain and iron collar would have been attached .","sent3: ('""http://answering-islam.org.uk/Shamoun/aboutbible2.htm""', 534)"
"ivory tower",". "" to get two letters passing it further down the line underlines the rather ivory tower approach by senior officers . "" yesterday , a police spokesman said : "" bedfordshire","recently the globalization adversaries emerged ; the experts at the universities had to abandon their ivory towers and present their research at the market place in order to rebuild public confidence .","may seem to be with this exhibition a case of moving art out of one ivory tower ( namely the gallery ) into another ( the theatre ) , i for one"
"jet lag","sent1: ('""http://www.wessexscene.co.uk/article.php?sid=734""', 12)","this is similar to jet lag , where rapid travel between time zones means that you find yourself awake when everybody else is asleep","sent3: ('""http://www.burnyourbonus.co.uk/rec.travel.latin-america/thread47.html""', 2)"
"job fair","update your cv and visit plenty of career fairs , brush up on your interview techniques , ensure you dry - clean your best , plain suit in advance of any job fairs .","summer placements are encouraged and can be found , along with permanent jobs , through the laboratory supporters club annual job fair .","sent3: ('""http://www.homerton.nhs.uk/about/11579696242752.html""', 10)"
"kangaroo court","shall not yield in our quest for justice and we shall refuse to acknowledge the kangaroo courts which will facilitate this farce of amnesty . rest assured we shall fight ever avenue",", the trial would seem to the world to be as unfair as saddam ' s kangaroo courts . that is not to say american justice is unfair . in fact , the","¬ó including the despicable st ¬∏ rmer . to hitler the trial smacked of a kangaroo court , and he told other party leaders like ley that he felt an injustice had"
"labour union","that same year the first campesino labour union was formed .","they set up a successful communist labour union in france right after the war .","about two years ago , a labour union tried to organize the workers , but the workers refused ."
"law firm","and israel . since the 60 s , clintons , as one of the leading law firms in the music industry , has represented artists in the pop , rock and classical","the chair of lawyers for change and a partner at kaltons llp , a commercial law firm specialising in technology and innovations . what i do is bring people together and help","duty by debenture , and so they go away for holland . ¬î south west law firm foot anstey ' s continued expansion means a second office in taunton at the quad 3000"
"leap year","it comprises 12 months of 30 days , plus 5 days ( 6 in a leap year ) ; each month has 3 decades of 10 days .","sent2: ('""http://www.eng.dmu.ac.uk/%7ehgs/ruby/rubycvsdocs/files/lib/date_rb.html""', 33)","sent3: ('""http://www.eng.dmu.ac.uk/%7ehgs/ruby/rubycvsdocs/files/lib/date_rb.html""', 34)"
"life belt","sent1: ('""http://www.craftytech.co.uk/tg2002.htm""', 7)","sent2: ('""http://www.fontb.org.uk/archives.htm""', 13)","sent3: ('""http://www.fontb.org.uk/archives.htm""', 17)"
"life vest","in this way , the vest resembles a typical ' life vest ' used by boaters .","sent2: ('""http://www.honda-racing.co.uk/marine/hf4s/competitors/HF4S-costs.asp""', 7)","the life vest under your seat , with built - in whistle and flashlight , is next to useless ."
"lime tree","sent1: ('""http://www.holker-hall.co.uk/GreatLime.htm""', 46)","they posted the letter , which begins ' dear the tree ' , on the lime tree ' s trunk .","and the lime tree , lovely and tall , every leaf silent hardly looses even a last breath of perfume ."
"lip service",". "" when we advocate sustainable development of air transport , we are not paying lip service to the environment , rather we are calling for a comprehensive set of measures to","of course , the same in this country . the tory right has also paid lip service to morality and not delivered . nor are things better now under the democratic left","the separation was a polite fiction , the financial houses at least had to pay lip service to the notion . when morgan stanley spurned quattrone ' s attempt to bring research under"
"loan shark","sent1: ('""http://www.selectloans.co.uk/loan-sharks.html""', 6)","sent2: ('""http://www.indielondon.co.uk/film/unknown_pleasures_rev.html""', 10)","sent3: ('""http://www.marklazarowicz.org.uk/parliament/speeches2003/1.08(WH).htm""', 57)"
"loose woman","sent1: ('""http://www.katapi.org.uk/katapiNSBunix/DC/DCByBC.php?GB=105&GC=9""', 7)","sent2: ('""http://www.jabw.demon.co.uk/bdb21.htm""', 15)","if you are a female musician in zimbabwe you are seen as a kind of loose woman ."
"lotus position","them as they go . they might tuck their legs under their groin in a lotus position , increasing their flexibility and movement of limbs and help them to release their stiffness","ni√°nn hold forth from a large cushion bedecked with flowers , sitting gurulike in the lotus position - - as well as a strong environmental ethic . threaded through all this is dissatisfaction","the floor so we decided that two older ladies trying to get up from the lotus position on the ground would more than likely demolish the teepee and thought we ' d give"
"love song","the romance in moulin rouge breathes thanks to the love songs that his protagonists sing .","sent2: ('""http://www.violetandblue.co.uk/html/p3DesignaLoveSong.htm""', 5)","i know but this is a love song you could really dance to ."
"low profile","sent1: ('""http://www.tech-ops.co.uk/page76.html""', 7)","i ' ve written the guestbook myself in asp and it was the shock that someone was targeting my low profile site which i found a bit creepy .","some 7 , 000 police officers were on call but security forces kept a low profile along the rally ' s route ."
"mail service","sent1: ('""http://www.eprosper.co.uk/eprosper/services1.html""', 2)","a more recent development is the web - based mail service , such as hotmail , yahoo mail , and others .","sent3: ('""http://www.marine-society.org.uk/Marine%20Society/Content/Education/courses/GCSE%20-%20A%20Levels/Merchant%20Navy/details""', 6)"
"mailing list",". for the keen , it has more information about the commands used by the mailing list software . if your confirmation e - mail went through successfully , you will be sent an","uk . further information is available by calling 0 1626 835055 . more join our mailing list to receive regular updates on the latest financial , tax and business issues . tuesday","management ( crm ) support services including ; database profiling , data mining , prospect mailing lists , direct marketing , data warehousing , data processing , data cleansing , suppression and"
"market place","my client is one of the most recognised brands in the financial services market place .","sent2: ('""http://www.smallbusinesspro.co.uk/marketing/how-to-brand-your-business/""', 10)","sent3: ('""http://www.canmakers.co.uk/industry/can_makers_report_2005.asp""', 31)"
"marketing consultant","sent1: ('""http://www.webmachine.co.uk/branding.htm""', 8)","sent2: ('""http://www.onthespot.co.uk/bespoke.asp""', 11)","sent3: ('""http://www.greenbooks.co.uk//store/product_info.php?products_id=228""', 15)"
"medical procedure","accidental exposures in radiotherapy continue to occur ; radiation injuries continue to be caused in interventional medical procedures .","sent2: ('""http://beehive.thisisnorthdevon.co.uk/default.asp?WCI=SiteHome&ID=12794&PageID=78012""', 14)","sent3: ('""http://www.epilepsyscotland.org.uk/pressreleases/media_arch01.htm""', 216)"
"melting pot","ranging from irish folk to music from asia minor ; zuba - providing a global melting pot of world beat flavours , afro beat influences and traditional folk - based lyrical tales ; barrioviejo",", coptic and eastern traditions to create a sublimely unified artistic vision of the cultural melting pot of northumbria in the seventh and eighth centuries . the lindisfarne gospels , and others","heights affair ' s ' dancin ' ' . yet its heyday was down with the epochal melting pot of punk / funk / art / jazz / dub / disco , and pat"
"memory lane","sussex county council ' s children ' s services as "" excel more ¬ª trip down memory lane from the early 1940 ' s when beaches were a heavily defended no go area ,","80 . this is a droll website . it really is a walk down the memory lane of dis - functional , bitter failures . are we all growing old dis - gracefully with the punk","behind a hotel . the station hotel if i remember correctly . great trip down memory lane with the virtual tour . posted by dave at 0 5 / 0 8 /"
"mental disorder","sent1: ('""http://www.freud.org.uk/wperson.htm""', 25)","sent2: ('""http://www.aa-uk.org.uk/alcoholics-anonymous-reviews/2005/12/alcohol-related-health-problems-on.html""', 13)","sent3: ('""http://www.sohp.soton.ac.uk/shprs/Us/People/AcademicStaff/ASProfile.asp?qname=PavlinaPsychouli&cntnt=bio""', 2)"
"middle school","sent1: ('""http://www.saatchi-gallery.co.uk/yourgallery/artist/details.php?id=6556""', 7)","sent2: ('""http://www.people.ex.ac.uk/PErnest/pome15/early_maths.htm""', 9)","by interacting with american inventors and entrepreneurs , middle school students learn firsthand about history , technology , and science ."
"milk tooth","sent1: ('""http://www.zephyrus.co.uk/teeth.html""', 2)","sent2: ('""http://hcd2.bupa.co.uk/fact_sheets/html/child_dental.html""', 14)","sent3: ('""http://www.livinglibrary.co.uk/s_blogs.asp?SelectedDate=06%2F03%2F06+%2D+12%2F03%2F06""', 3)"
"monkey business","the lessons . ' in o ' brien ' s case the prosecutor said "" clearly monkey business "" had occurred with police notes . in interrogation i was offered ¬£ 10 , 000 to",". architecturally magnificent , it is as clean as a whistle , and absolutely no monkey business goes on . what ' s more , the entire 16 stages of the treatment are","lenses and filters . but if they√ø¬æ ¬¥ re not honests sooner or later their monkey business is gonna stop . thankx to you all ! ! ! ! reply from ian date 22 /"
"mother tongue","sent1: ('""http://www.hltmag.co.uk/mar00/sart1.htm""', 21)","all translators ranslate into mother tongue and live in - country .","sent3: ('""http://education.independent.co.uk/careers_advice/az_careers/article219506.ece""', 12)"
"music festival","sent1: ('""http://www.lst.ac.uk/music/staff.php""', 28)","sent2: ('""http://www.tourismswansea.co.uk/contribute/about%20swansea/index_page2.asp""', 7)","sent3: ('""http://www.hubl.co.uk/news.php""', 65)"
"music journalist","sent1: ('""http://www.thisissouthend.co.uk/essex/local_interest/essex_authors/tparsons.html""', 2)","sent2: ('""http://www.theinsight.co.uk/bookreview_may.htm""', 25)","other guest speakers include music journalist and radio presenter steve lamacq , music industry lawyer helen searle , whose clients include jamiroquai and moby ."
"narrow escape","sent1: ('""http://www.coventryweb.co.uk/editorials/writers/Evacuee.html""', 224)","sent2: ('""http://www.mining-villages.co.uk/94.html""', 65)","sent3: ('""http://www.st-dunstans.org.uk/vevjday/pages/your_memories5.asp""', 64)"
"nest egg","allowing younger workers to save some of their taxes in a personal account√ç - - a nest egg you can call your own , and government can never take away . in all","would be better off with no insurance and using the money saved to build a nest egg to see them through lean times or pay off their debt . for many customers","700 million savings scheme being piloted by the government to help people build up a nest egg . under the ¬ì saving gateway ¬î project , families with an income of less"
"net income","the record company posted a net income of $ 178 million on sales .","net income dropped 40 percent to $ 153 . 4 million due to costs to expense stock options .","sent3: ('""http://www.fashionunited.co.uk/news/phillips.htm""', 61)"
"news agency","sent1: ('""http://www.offshoreradio.co.uk/sre1.htm""', 61)","sent2: ('""http://www.ospreys.org.uk/AWOP/Update2001.10.htm""', 55)","sent3: ('""http://hitchensblog.mailonsunday.co.uk/2006/06/time_to_grow_up.html""', 82)"
"night owl","constant battle for us , as he is a morning person & i am a night owl , so i find that going to sleep at 9 . 30 really cuts out the best","usually spend the night watching movies or searching for visual imagery . i ' m a night owl , and seldom go to bed before midnight . what is the morriswhat is the","will be most focused on your studies . are you a morning person or a night owl ? do you concentrate best after a cup of coffee or after lunch ? once"
"noble gas","sent1: ('""http://heliumuk.co.uk/helium2.htm""', 34)","sent2: ('""http://www.4college.co.uk/as/el/bond.php""', 2)","other elements in the periodic table react with other elements to gain the ' more stable ' noble gas configuration ."
"noise complaint","some of the noise complaints i get relate to incoming planes .","sent2: ('""http://www3.camden.gov.uk/templates/committees/showHTML.cfm?file=16104.htm""', 81)","the council ' s noise service investigate a wide range of noise complaints from a variety of sources ."
"number crunching","for developing speaking and listening skills ! and then there are those who enjoy the number crunching . kieran and joe in miss moran ' s class ensure that our score boards are",": 30 . trying to do dfs at that time of day after all the number crunching you ' ve already had , just was n ' t for me i ' m afraid , but","a large chunk of club funds . prepare properly and get professional help with the number crunching and you may be pleasantly surprised by the reaction from the management team . of"
"nut case","just between you and me he ' s a bit of a nut case .","sent2: ('""http://www.uklupus.co.uk/story4.html""', 33)","okay , i get the jersey attitude and the fact that abruzzi is a nut case ."
"old flame","sent1: ('""http://www.eufs.org.uk/films/casablanca.html""', 4)","she is an old flame of steve ' s , so he invites her to lunch .","sent3: ('""http://www.theabi.org.uk/press/bissue.htm""', 6)"
"old hat","i think perhaps that zap - it - up games are becoming a little bit old hat .","the trouble is that our citizens take all that for granted - it ' s all old hat .","this may be old hat in most of the world , but in iraq it ' s virtually a revolution ."
"old timer","a handicap system means that any new player can successfully challenge the old timers .","i suppose newcomers to the groups probably think us old timers are hard - hearted and uncaring .","if you ' re an old timer , you might remember some of these events , perhaps in their european parallels ."
"pain killer","there may be symptoms such as bleeding or persistent pain not relieved by simple pain killers .","rheumatoid arthritis should be treated by a doctor who would start with anti - inflammatory pain killers such as ibuprofen .","sent3: ('""http://www.happychild.org.uk/nvs/focus/landmines/landmine2.htm""', 22)"
"panda car","night at 11 . 00 p . m . some two years earlier he had followed a cyclist in his panda car from the village , hoping that the man would realise he had failed to switch","alarms . the second is the provision of a comprehensive vehicle installation service ranging from panda cars to motorcycles . the last two units also install , repair and maintain communications equipment","staffordshire . logopolis & logo police . not the badge on the side of a panda car - dr who went to the former , the latter practise logography . m moat"
"parking lot","shopping , the first thing to remember is that you should not park in the parking lot and walk to the mall buildings , because you will probably get killed . instead","motorists are asked to avoid parking in isolated or darkened areas of camping sites or parking lots . tourists are advised to conceal bags and purses even when driving , and to","and starts processing my car rental . the rental cars are located in an adjacent parking lot just out side the main terminal building . no need wait for a bus to"
"peace conference","sent1: ('""http://www.christopherlong.co.uk/pri/cropri.html""', 201)","this report stimulated widespread discussion among the governmental representatives attending the peace conference .","sent3: ('""http://www.casi.org.uk/discuss/2002/msg01185.html""', 154)"
"peace talk","sent1: ('""http://www.acronym.org.uk/docs/0406/doc13.htm""', 44)","sent2: ('""http://www.cpafrica.org.uk/news_detail.asp?twoID=163""', 2)","sent3: ('""http://www.attackingthedevil.co.uk/worksabout/hague.php""', 34)"
