"compound"	"CompScale"	"CompType"	"MeanS1"	"MeanS2"	"MeanS3"	"Synonyms"	"SynonymsS1"	"SynonymsS2"	"SynonymsS3"
"speed limit"	"C"	"4.83"	"5.0"	"5.0"	"4.9"	"speed restriction;speed restriction;maximum velocity;maximum velocity"		"speed laws"	"maximum speed"
"skin tone"	"C"	"3.88"	"4.6"	"4.8"	"4.5"	"skin color;skin color;complexion;complexion;body color"		"skin colors"	
"mother tongue"	"NC"	"0.59"	"0.2"	"1.4"	"1.2"	"native language;native language;first language;sweet"			
"spelling bee"	"NC"	"2.45"	"0.9"	"1.1"	"0.2"	"spelling contest;spelling contest;spelling competition;spelling competition;word contest;word contest"			"spelling test"
"narrow escape"	"PC"	"1.75"	"2.6"	"2.6"	"2.6"	"close call;close call;sweet;sweet;slim;close escape;just avoided"	"getaway"		"near miss"
"net income"	"C"	"2.94"	"3.5"	"3.3"	"2.45"	"profit;revenue;net revenue;income after taxes;net pay;sweet"		"net profit"	
"spinning jenny"	"NC"	"2.28"	"0.8"	"0.8"	"1.42"	"spinning machine;spinning machine;spinning wheel;spinning wheel;loom;spindle;weaving machine;sewing machine"			"spinning reel"
"smoke screen"	"NC"	"1.11"	"2.0"	"1.5"	"1.36"	"distraction;distraction;cover up;cloak"	"decoy"		"disguise;ruse"
"social insurance"	"PC"	"2.83"	"2.3"	"2.5"	"2.4"	"social security;social security;welfare;economic assistance;medicare"			
"swan song"	"NC"	"0.83"	"0.1"	"0.9"	"0.7"	"farewell;farewell;final performance;conclusion;last hurrah;last work;finale"			
"speed trap"	"PC"	"3.71"	"3.9"	"4.0"	"3.91"	"radar trap;radar trap;police trap;police trap;checkpoint"			
"news agency"	"C"	"4.39"	"4.46"	"4.5"	"5.0"	"news service;press agency;news company;news station"		"news network"	"news outlet"
"swimming pool"	"C"	"4.87"	"5.0"	"4.7"	"4.6"	"pool;pool;swimming hole;cement pond"			
"stag night"	"PC"	"1.44"	"1.0"	"1.1"	"2.45"	"bachelor party;bachelor party"			"bachelor parties;shower"
"noble gas"	"PC"	"1.18"	"1.6"	"2.18"	"2.5"	"inert gas;inert gas;rare gas;argon;sweet"		"chemical"	"argonon"
"think tank"	"NC"	"2.04"	"0.8"	"1.18"	"1.1"	"brain trust;experts"			"focus group"
"video game"	"C"	"4.6"	"4.1"	"3.7"	"3.0"	"electronic game;electronic game;computer game;computer game;computerized game;electronic amusement;sweet"			
"sugar daddy"	"NC"	"0.44"	"0.7"	"0.5"	"0.64"	"benefactor;benefactor;patron;pimp;pimp;financial provider"		"provider"	"older benefactor;rich man"
"nut case"	"NC"	"0.44"	"0.25"	"0.7"	"0.5"	"crazy person;crazy person;crazy;crazy;lunatic;lunatic;psycho;sweet"			
"web site"	"PC"	"3.79"	"3.2"	"2.7"	"1.73"	"web page;web page;internet page;internet site;site;internet address;webpage;online site;sweet"	"network"		
"tear gas"	"C"	"3.27"	"3.4"	"3.6"	"3.3"	"poison gas;poison gas;mace;asphyxiant;pepper spray;poison air;chemical spray;poisonous gas"		"riot gas"	"mustard gas"
"old flame"	"NC"	"0.58"	"0.9"	"0.91"	"0.5"	"former lover;former lover;ex girlfriend;ex girlfriend;old love;past love;past love;old lover;sweet"	"ex lover"		"ex-girlfriend"
"time difference"	"C"	"4.41"	"5.0"	"4.27"	"4.9"	"time zone;time zone;time zones;hours"	"time gap"	"time delay"	
"old hat"	"NC"	"0.35"	"0.3"	"0.3"	"0.8"	"old fashioned;old fashioned;dated;old-fashioned;old-fashioned;out of date;old news;old news;uninteresting;sweet"			
"zebra crossing"	"NC"	"1.25"	"1.4"	"0.7"	"1.29"	"crosswalk;crosswalk;pedestrian crossing;sweet"			
"traffic control"	"C"	"3.69"	"3.18"	"3.2"	"4.3"	"traffic regulation;traffic management"	"traffic light;stoplight"		
"old timer"	"NC"	"0.89"	"0.4"	"0.7"	"1.0"	"senior;senior;senior citizen;senior citizen;elder;seniors;elderly"	"geezer"	"veteran"	"veterans;old person"
"traffic jam"	"PC"	"3.62"	"3.6"	"3.3"	"2.5"	"congestion;congestion;gridlock;bottleneck;traffic"			
"phone book"	"C"	"4.25"	"3.73"	"4.6"	"4.09"	"directory;directory;telephone directory;telephone directory;phone directory;sweet"			"white pages;yellow pages"
"travel guide"	"C"	"4.38"	"4.8"	"4.6"	"4.0"	"guidebook;guide for travel;guide for travel;trip advisor"	"guide book"		"vacation book"
"pillow slip"	"C"	"3.7"	"4.1"	"3.27"	"3.4"	"pillow case;pillow case;pillow cover;pillow cover;pillowcase;pillowcase;cover;sweet"			
"wedding anniversary"	"C"	"4.86"	"5.0"	"5.0"	"4.73"	"wedding commemoration;wedding commemoration;marriage commemoration;marriage commemoration;commemoration;marriage celebration"			"marriage anniversary"
"pocket book"	"C"	"1.42"	"1.4"	"1.4"	"3.0"	"purse;purse;small book;small book;sweet"	"wallet"	"paperback"	"diary;notebook;note pad;planner"
"wedding day"	"C"	"4.94"	"4.73"	"4.9"	"4.73"	"marriage;marriage;marriage date;marriage date;marriage ceremony;marriage ceremony;nuptials;marriage day;sweet"		"day of marriage"	
"white noise"	"PC"	"1.17"	"1.07"	"0.8"	"0.8"	"static;static;background noise;static noise;hiss"			"background sound"
"prison guard"	"C"	"4.89"	"4.67"	"4.6"	"4.64"	"warden;corrections officer;jailor;jailer;jailer;officer;guard;sweet"	"correctional officer"		"prison officer;watchman"
"prison term"	"C"	"4.79"	"4.8"	"4.2"	"4.4"	"sentence;sentence;prison sentence;prison sentence;slammer time;jail sentence;sweet"			
"white spirit"	"NC"	"1.31"	"0.7"	"0.7"	"1.0"	"paint thinner;paint thinner;turpentine;turpentine;mineral spirits;bleach;mineral spirit;sweet"			
"private eye"	"PC"	"0.82"	"1.64"	"1.2"	"0.5"	"detective;detective;investigator;investigator;private investigator;private investigator;private detective;sweet"			
"winter solstice"	"C"	"4.55"	"4.8"	"3.7"	"4.7"	"midwinter;midwinter;start of winter;start of winter;equinox;winter months"			"wintertime"
"record book"	"C"	"3.7"	"3.75"	"3.7"	"4.3"	"journal;register;daybook;ledger;log;sweet"	"log book"		
"world conference"	"C"	"3.96"	"3.73"	"4.1"	"4.6"	"summit;summit;meeting;global meeting"	"global summit"		
"ancient history"	"PC"	"1.95"	"3.3"	"3.36"	"3.0"	"old news;distant past;forgotten;old"			"past"
"research lab"	"C"	"4.75"	"4.55"	"4.4"	"4.6"	"science lab;science lab;research facility;laboratory;science laboratory;sweet"			"lab"
"sex bomb"	"PC"	"0.53"	"0.0"	"1.4"	"1.6"	"bombshell;bombshell;sweet"			
"silver lining"	"NC"	"0.35"	"0.91"	"0.5"	"0.4"	"bright side;positive side;positive aspect;blue sky;good part;sweet"		"hope"	
"small fry"	"PC"		"1.2"	"0.3"	"0.5"	"insignificant;insignificant;minor;unimportant;little;little fish;sweet"			"small time"
"sound judgement"	"C"	"3.39"	"2.5"	"2.0"	"1.7"	"common sense;analysis;reason;sweet"	"reasoning"	"good sense"	"discretion"
"sparkling water"	"C"	"3.14"	"3.2"	"2.5"	"2.7"	"carbonated water;carbonated water;bubbly water;seltzer water;seltzer water;fizzy water;water with bubbles;spring water;sweet"			
"armchair critic"	"PC"	"1.33"	"1.55"	"1.0"	"1.4"	"smart aleck;smart aleck;passive observer"		"theorist"	
"street girl"	"PC"	"3.16"	"4.3"	"3.0"	"2.73"	"prostitute;prostitute;hooker;homeless;homeless girl;sweet"			
"subway system"	"C"	"4.63"	"4.7"	"4.36"	"4.0"	"metro;metro;underground;underground train;metro system;subway;sweet"			
"tennis elbow"	"NC"	"2.5"	"3.08"	"1.4"	"0.9"	"elbow injury;painful elbow;tendinitis;lateral epicondylitis;sweet"	"tendonitis"		
"top dog"	"NC"	"1.05"	"0.77"	"0.5"	"0.8"	"leader;leader;boss;the best;head honcho;king;taskmaster;sweet"	"number one;commanding officer"	"best"	
"wet blanket"	"NC"	"0.21"	"0.3"	"0.0"	"0.55"	"party pooper;party pooper;downer;downer;killjoy;buzzkill;buzzkill;debbie downer;cold water;sweet"			
"baby buggy"	"C"	"3.94"	"3.7"	"3.9"	"3.38"	"stroller;stroller;carriage;carriage;baby carriage;pram;sweet"			
"word painting"	"PC"	"1.62"	"2.4"	"1.3"	"1.87"	"association of ideas;visualizing;sweet"			"visual image"
"bad hat"	"NC"	"0.62"	"0.4"	"0.2"	"0.75"	"bad guy;troublemaker;trouble maker;disreputible person;bad egg;bad person;trickster"		"bully"	"bad"
"acid test"	"NC"	"1.22"	"0.85"	"1.2"	"1.27"	"proof;experiment;crucial test;analysis;trial;litmus test;sweet"	"test of value"		
"benign tumour"	"PC"	"4.69"	"5.0"	"4.9"	"4.64"	"harmless tumor;harmless tumor;harmless growth;harmless growth;lump;harmless cyst;nonmalignant tumor"		"non cancerous tumor"	"noncancerous growth"
"big fish"	"NC"	"0.85"	"0.4"	"0.3"	"0.6"	"top dog;big shot"			
"agony aunt"	"NC"	"0.76"	"0.83"	"1.47"	"0.5"	"advice columnist;advice columnist;sweet;sweet;journalist"	"dear abby"		"advice column"
"birth rate"	"C"	"4.6"	"4.17"	"4.9"	"4.8"	"fertility;fertility;fertility rate;fertility rate;births;population growth;number of births;record births"	"natality"		
"application form"	"C"	"4.8"	"4.58"	"4.27"	"4.2"	"application;entry form;information form;registration form;resume;enrollment form;sweet"	"function"		"job application"
"black cherry"	"C"	"3.11"	"3.36"	"3.27"	"3.4"	"cherry;cherry;sweet cherry;dark cherry;dark cherry;dark fruit;fruit;rum cherry;sweet"		"sour cherry"	"sour cherries"
"balance sheet"	"C"	"3.86"	"3.69"	"3.67"	"4.1"	"ledger;financial statement;budget;annual report;accounting sheet;sweet"			
"bank account"	"C"	"4.73"	"5.0"	"4.4"	"4.67"	"checking account;checking account;savings account;funds;checking;sweet"			"account"
"bow tie"	"PC"	"4.25"	"4.27"	"4.4"	"4.7"	"neck tie;neck tie;tie;necktie;necktie"			"bowtie"
"blame game"	"PC"	"2.72"	"1.0"	"1.91"	"2.2"	"pass the buck;accuse;accuse;sweet"	"accusal"	"pointing fingers"	
"brass ring"	"NC"	"3.72"	"0.83"	"0.25"	"3.1"	"prize;opportunity;sweet"	"trophy"		"handle;metallic circle"
"brain teaser"	"NC"	"2.65"	"3.2"	"3.7"	"2.55"	"riddle;riddle;puzzle;puzzle;enigma;conundrum"	"challenge"	"mystery"	
"brick wall"	"PC"	"3.79"	"3.2"	"1.13"	"4.64"	"obstacle;sweet;sweet;strong;concrete"		"hard stop;block;hard limit"	
"call centre"	"C"	"4.66"	"4.0"	"4.0"	"4.0"	"customer service;communication center;customer care center;telemarketing center;technical support;phone room;sweet"			"phone center"
"busy bee"	"NC"	"0.88"	"1.3"	"0.82"	"0.7"	"active person;active person;hard worker;hard worker;workaholic"	"hustler"		"go-getter"
"carpet bombing"	"PC"	"1.24"	"0.91"	"0.9"	"0.7"	"saturation bombing;intense bombing;intense bombing;area bombing;concentrated bombing;sweet"			
"cellular phone"	"PC"	"3.78"	"3.9"	"3.73"	"4.5"	"mobile phone;mobile phone;cell phone;mobile;wireless telephone;mobile telephone;mobile device;sweet"		"phone"	
"close call"	"NC"	"1.59"	"1.9"	"1.7"	"1.7"	"near miss;close shave;cliffhanger;close one"			"brush"
"closed book"	"NC"	"0.68"	"1.08"	"1.5"	"0.1"	"enigma;conundrum;conundrum;secretive person;puzzle"		"riddle"	"mystery;secret"
"computer program"	"C"	"4.5"	"4.64"	"4.2"	"4.7"	"software;software;application;software program;computer application;sweet;sweet;program on a computer"			
"con artist"	"PC"	"2.1"	"2.8"	"2.1"	"1.82"	"crook;crook;cheater;liar;fraud;sweet"	"hustler;fake"	"con man"	"conman"
"cooking stove"	"C"	"4.68"	"5.0"	"4.4"	"4.67"	"oven;oven;cooker;stove;stove;cooking range;sweet"			
"cotton candy"	"PC"	"1.79"	"1.58"	"2.2"	"1.2"	"spun sugar;spun sugar;candy floss"	"food"	"sugar floss"	
